İl,İlçe,Sandık_Sayısı,Kayıtlı_SeçmenSayısı,Oy_Kullanan_Seçmen_Sayısı,Katılım_Yüzdesi,Geçerli_oy_sayısı,Geçerli_oy_sayı_yüzdesi,Muharrem_İnce_oy_sayısı,Muharrem_İnce_oy_yüzdesi,Meral_Akşaner_oy_sayısı,Meral_Akşener_oy_yüzdesi,Recep_Tayyip_Erdoğan_oy_sayısı,Recep_Tayip_Erdoğan_oy_yüzdesi,Selahattin_Demirtaş_oy_sayısı,Selahattin_Demirtaş_oy_yüzdesi,Temel_Karamollaoğlu_oy_sayısı,Temel_Karamollaoğlu_oy_yüzdesi,Doğu_Perinçek_oy_sayısı,Doğu_Perinçek_oy_yüzdesi
İstanbul,Adalar,36,11967,10535,88,10365,98.4,6229,60.1,401,3.9,2811,27.1,855,8.2,34,0.3,35,0.3
İstanbul,Bakırköy,463,168450,147959,87.8,146379,98.9,97530,66.6,8284,5.7,34973,23.9,4275,2.9,875,0.6,442,0.3
İstanbul,Beşiktaş,394,140754,123510,87.7,122393,99.1,90732,74.1,5236,4.3,22535,18.4,2857,2.3,569,0.5,464,0.4
İstanbul,Beykoz,513,184234,165063,89.6,162001,98.1,55893,34.5,9175,5.7,90529,55.9,4009,2.5,2044,1.3,351,0.2
İstanbul,Beyoğlu,475,170779,145639,85.3,143129,98.3,46131,32.2,5580,3.9,74662,52.2,14845,10.4,1611,1.1,300,0.2
İstanbul,Çatalca,160,53501,48881,91.4,47825,97.8,21138,44.2,4864,10.2,20502,42.9,990,2.1,245,0.5,86,0.2
İstanbul,Eyüpsultan,752,273863,242854,88.7,238756,98.3,93809,39.3,11125,4.7,121316,50.8,9587,4,2516,1.1,403,0.2
İstanbul,Fatih,794,283991,240296,84.6,235892,98.2,77904,33,11013,4.7,126819,53.8,16287,6.9,3317,1.4,552,0.2
İstanbul,Gaziosmanpaşa,936,349260,304988,87.3,299967,98.4,83104,27.7,14023,4.7,177196,59.1,22060,7.4,3080,1,504,0.2
İstanbul,Kadıköy,995,363413,323471,89,320436,99.1,230909,72.1,13901,4.3,65086,20.3,7913,2.5,1485,0.5,1142,0.4
İstanbul,Kartal,938,344826,308290,89.4,303612,98.5,133721,44,15454,5.1,136923,45.1,14029,4.6,2865,0.9,620,0.2
İstanbul,Sarıyer,690,248940,219735,88.3,216334,98.5,104843,48.5,10109,4.7,93274,43.1,5993,2.8,1648,0.8,467,0.2
İstanbul,Silivri,386,120995,115756,95.7,113712,98.2,51266,45.1,8211,7.2,46151,40.6,7061,6.2,774,0.7,249,0.2
İstanbul,Şile,103,26912,24572,91.3,23988,97.6,8036,33.5,2129,8.9,12711,53,835,3.5,217,0.9,60,0.3
İstanbul,Şişli,562,204319,174910,85.6,172553,98.7,103316,59.9,6622,3.8,51726,30,9558,5.5,881,0.5,450,0.3
İstanbul,Üsküdar,1095,400677,355391,88.7,350088,98.5,143172,40.9,20410,5.8,170868,48.8,10427,3,4325,1.2,886,0.3
İstanbul,Zeytinburnu,520,191796,165162,86.1,162473,98.4,47266,29.1,8945,5.5,85626,52.7,18926,11.6,1469,0.9,241,0.1
İstanbul,Büyükçekmece,471,172351,151343,87.8,149298,98.6,65365,43.8,8364,5.6,67879,45.5,6620,4.4,807,0.5,263,0.2
İstanbul,Kağıthane,866,319199,278603,87.3,274156,98.4,88454,32.3,12961,4.7,153150,55.9,15745,5.7,3401,1.2,445,0.2
İstanbul,Küçükçekmece,1468,541033,474741,87.7,467153,98.4,178113,38.1,25735,5.5,215272,46.1,43504,9.3,3732,0.8,797,0.2
İstanbul,Pendik,1332,491711,435249,88.5,427691,98.3,129613,30.3,22374,5.2,249985,58.4,19946,4.7,5028,1.2,745,0.2
İstanbul,Ümraniye,1331,491261,437532,89.1,430704,98.4,137614,32,23623,5.5,242289,56.3,21919,5.1,4553,1.1,706,0.2
İstanbul,Bayrampaşa,542,199348,175947,88.3,173410,98.6,59635,34.4,10357,6,96674,55.7,4729,2.7,1651,1,364,0.2
İstanbul,Avcılar,811,302286,263034,87,258770,98.4,116519,45,11899,4.6,110357,42.6,17983,6.9,1560,0.6,452,0.2
İstanbul,Bağcılar,1359,506091,443563,87.6,435770,98.2,93275,21.4,17569,4,267253,61.3,52312,12,4841,1.1,520,0.1
İstanbul,Bahçelievler,1158,427357,372529,87.2,366942,98.5,123804,33.7,17915,4.9,190702,52,30275,8.3,3629,1,617,0.2
İstanbul,Güngören,571,211075,183714,87,180852,98.4,54785,30.3,8987,5,100600,55.6,14287,7.9,1909,1.1,284,0.2
İstanbul,Maltepe,1003,367516,327020,89,322479,98.6,162866,50.5,15060,4.7,130120,40.3,11423,3.5,2272,0.7,738,0.2
İstanbul,Sultanbeyli,575,213941,190650,89.1,186365,97.8,21684,11.6,5238,2.8,128103,68.7,28783,15.4,2374,1.3,183,0.1
İstanbul,Tuzla,477,174845,155919,89.2,153401,98.4,55364,36.1,8615,5.6,79314,51.7,8237,5.4,1598,1,273,0.2
İstanbul,Esenler,841,310787,274752,88.4,270100,98.3,51053,18.9,10933,4,180627,66.9,24200,9,2974,1.1,313,0.1
İstanbul,Arnavutköy,471,168986,148865,88.1,145482,97.7,22296,15.3,5909,4.1,96085,66,19497,13.4,1512,1,183,0.1
İstanbul,Ataşehir,825,306446,273413,89.2,269321,98.5,123210,45.7,12116,4.5,118799,44.1,12356,4.6,2285,0.8,555,0.2
İstanbul,Başakşehir,690,253892,225906,89,222575,98.5,64011,28.8,10703,4.8,121683,54.7,22298,10,3562,1.6,318,0.1
İstanbul,Beylikdüzü,595,220711,195419,88.5,193373,99,88382,45.7,10881,5.6,82813,42.8,9418,4.9,1464,0.8,415,0.2
İstanbul,Çekmeköy,466,170067,152826,89.9,150338,98.4,52109,34.7,7523,5,80901,53.8,8257,5.5,1334,0.9,214,0.1
İstanbul,Esenyurt,1484,549448,470945,85.7,463084,98.3,144878,31.3,16583,3.6,220363,47.6,78023,16.8,2649,0.6,588,0.1
İstanbul,Sancaktepe,733,272270,243914,89.6,239239,98.1,76280,31.9,7646,3.2,123321,51.5,29830,12.5,1894,0.8,268,0.1
İstanbul,Sultangazi,944,350388,311724,89,306483,98.3,73723,24.1,9076,3,188528,61.5,31625,10.3,3161,1,370,0.1
